Handle,ProductVersionType,Price,UnitCost,Barcodes,LowInventoryThreshold,BaseProductName,BaseProductPosName,ShortDescription,LongDescription,IsPublished,IsOrderable,MaxPerPersonOrderQty,ValidToDate,ProductCategories,RequirementCategories,RestrictionCategories,TaxCategories,Vendor
Breadsticks,Standard,0.95,,DBG00000018,,Breadsticks,Breadsticks,Breadsticks,,true,false,,,Bread;,,,,
Buttermilk Cornbread,Standard,0.95,,DBG00000206,,Buttermilk Cornbread,Btrmlk Crnbrd,Buttermilk Cornbread,,true,false,,,Bread;,,,,
Dinner Rolls,Standard,0.95,,DBG00000058,,Dinner Rolls,Dinner Rolls,Dinner Rolls,,true,false,,,Bread;,,,,
Garlic Bread,Standard,0.95,,DBG00000207,,Garlic Bread,Garlic Bread,Garlic Bread,,true,false,,,Bread;,,,,
Garlic Butter Breadsticks,Standard,0.95,,DBG00000068,,Garlic Butter Breadsticks,GrlcBttrBrdstc,Garlic Butter Breadsticks,,true,false,,,Bread;,,,,
Honey-Glazed Cornbread,Standard,0.95,,DBG00000082,,Honey-Glazed Cornbread,HnyGlzdCrnbrd,Honey-Glazed Cornbread,,true,false,,,Bread;,,,,
Assorted Cold Cereals,Standard,1.75,,DBG00000001,,Assorted Cold Cereals,AsstColdCereals,Assorted Cold Cereals,,true,false,,,Breakfast;,,,,
Assorted Scones,Standard,2.50,,DBG00000208,,Assorted Scones,Asst Scones,Assorted Scones,,true,false,,,Breakfast;,,,,
Bacon,Standard,2.25,,DBG00000008,,Bacon,Bcn,Bacon,,true,false,,,Breakfast;,,,,
"Bacon, Egg, and Cheese Bagel",Standard,3.75,,DBG00000012,,"Bacon, Egg, and Cheese Bagel",Bcn EC Bagel,"Bacon, Egg, and Cheese Bagel",,true,false,,,Breakfast;,,,,
Biscuits,Standard,1.50,,DBG00000014,,Biscuits,Biscuits,Biscuits,,true,false,,,Breakfast;,,,,
Blueberry Muffins,Standard,3.00,,DBG00000016,,Blueberry Muffins,BlbrryMffns,Blueberry Muffins,,true,false,,,Breakfast;,,,,
Blueberry Scones,Standard,2.50,,DBG00000017,,Blueberry Scones,BlueberryScones,Blueberry Scones,,true,false,,,Breakfast;,,,,
Breakfast Bagel Bar,Standard,4.00,,DBG00000209,,Breakfast Bagel Bar,BrkfstBagelBar,Breakfast Bagel Bar,,true,false,,,Breakfast;,,,,
Breakfast Sausage Patties,Standard,2.00,,DBG00000019,,Breakfast Sausage Patties,Bfast Ssg Pty,Breakfast Sausage Patties,,true,false,,,Breakfast;,,,,
Cheese Grits,Standard,2.15,,DBG00000031,,Cheese Grits,Chz Grits,Cheese Grits,,true,false,,,Breakfast;,,,,
Chicken and Waffle Sandwich,Standard,4.50,,DBG00000210,,Chicken and Waffle Sandwich,Chk Waffle Sand,Chicken and Waffle Sandwich,,true,false,,,Breakfast;,,,,
Cinnamon Rolls,Standard,2.75,,DBG00000053,,Cinnamon Rolls,Cin Rolls,Cinnamon Rolls,,true,false,,,Breakfast;,,,,
Double Chocolate Muffins,Standard,3.00,,DBG00000059,,Double Chocolate Muffins,Choc Muff,Double Chocolate Muffins,,true,false,,,Breakfast;,,,,
Fried French Toast Sticks,Standard,2.75,,DBG00000065,,Fried French Toast Sticks,FT Sticks,Fried French Toast Sticks,,true,false,,,Breakfast;,,,,
Glazed Doughnuts,Standard,2.50,,DBG00000211,,Glazed Doughnuts,GlazedDoughnuts,Glazed Doughnuts,,true,false,,,Breakfast;,,,,
Ham and Cheddar Croissant,Standard,4.50,,DBG00000212,,Ham and Cheddar Croissant,Ham Chd Croi,Ham and Cheddar Croissant,,true,false,,,Breakfast;,,,,
Hashbrowns,Standard,2.00,,DBG00000213,,Hashbrowns,Hashbrowns,Hashbrowns,,true,false,,,Breakfast;,,,,
Honey Butter Chicken Biscuit,Standard,3.75,,DBG00000080,,Honey Butter Chicken Biscuit,HnyBttrChkBsct,Honey Butter Chicken Biscuit,,true,false,,,Breakfast;,,,,
Made-To-Order Breakfast Sandwich Bar,Standard,3.75,,DBG00000214,,Made-To-Order Breakfast Sandwich Bar,MdToOrdBrkfsSnd,Made-To-Order Breakfast Sandwich Bar,,true,false,,,Breakfast;,,,,
Sausage Biscuit,Standard,3.75,,DBG00000115,,Sausage Biscuit,Saus Biscuit,Sausage Biscuit,,true,false,,,Breakfast;,,,,
"Sausage, Egg, and Cheese on English Muffin",Standard,3.75,,DBG00000116,,"Sausage, Egg, and Cheese on English Muffin",SEC Eng Muff,"Sausage, Egg, and Cheese on English Muffin",,true,false,,,Breakfast;,,,,
Scrambled Eggs,Standard,2.00,,DBG00000118,,Scrambled Eggs,Scrambled Eggs,Scrambled Eggs,,true,false,,,Breakfast;,,,,
Waffles,Standard,3.00,,DBG00000146,,Waffles,Waffles,Waffles,,true,false,,,Breakfast;,,,,
Blackberry Lemonade,Standard,2.75,,DBG00000215,,Blackberry Lemonade,BlkbryLmnd,Blackberry Lemonade,,true,false,,,House-made Beverages;,,,,
Blueberry-Pineapple Smoothie,Standard,4.00,,DBG00000216,,Blueberry-Pineapple Smoothie,BlbrryPnpplSmth,Blueberry-Pineapple Smoothie,,true,false,,,House-made Beverages;,,,,
Fresh-Brewed Coffee,Standard,1.50,,DBG00000063,,Fresh-Brewed Coffee,Hot Coffee,Fresh-Brewed Coffee,,true,false,,,House-made Beverages;,,,,
