Recipe ID,Menu Item Name,Price,Barcode,Combo/Seasoning Item Recipe IDs
RCP00001,Assorted Cold Cereals,$1.75,DBG00000001,
RCP00002,Assorted Drinks,,DBG00000002,
RCP00003,Assorted Fresh Whole Fruit,,DBG00000003,
RCP00004,Assorted Fresh-Cut Fruit,,DBG00000004,
RCP00005,Assorted Powerade Zero™,$3.00,DBG00000005,
RCP00006,Assorted Powerade®,$3.00,DBG00000006,
RCP00007,Assorted Yogurt,$2.10,DBG00000007,
RCP00008,Bacon,$2.25,DBG00000008,
RCP00009,Bacon Cheeseburgers,$4.75,DBG00000009,
RCP00010,Bacon Corn Chowder,$2.99,DBG00000010,
RCP00011,Bacon Turkey Ranch Wrap,$3.25,DBG00000011,
RCP00012,"Bacon, Egg, and Cheese Bagel",$3.75,DBG00000012,
RCP00013,BBQ Chicken Tender and Cheddar Wrap,$3.25,DBG00000013,
RCP00014,Biscuits,$1.50,DBG00000014,
RCP00015,BLT Wrap,$3.25,DBG00000015,
RCP00016,Blueberry Muffins,$3.00,DBG00000016,
RCP00017,Blueberry Scones,$2.50,DBG00000017,
RCP00018,Breadsticks,$0.95,DBG00000018,
RCP00019,Breakfast Sausage Patties,$2.00,DBG00000019,
RCP00020,Broccoli-Cheddar Soup,$2.99,DBG00000020,
RCP00021,Buffalo Ranch Chicken Wrap,$3.25,DBG00000021,
RCP00022,Cajun Cheeseburgers,$4.75,DBG00000022,
RCP00023,Cajun Chicken and Sausage Gumbo,$2.99,DBG00000023,
RCP00024,Cajun Chicken Fettuccine Alfredo,,DBG00000024,
RCP00025,Cajun Fries,$2.70,DBG00000025,
RCP00026,Cajun Pulled Pork Sandwich,$4.75,DBG00000026,
RCP00027,Cajun-Roasted Cabbage,$2.70,DBG00000027,
RCP00028,Caprese Pesto Sandwich,$4.50,DBG00000028,
RCP00029,Cheddar Cheese,,DBG00000029,
RCP00030,Cheese and Broccoli Quinoa,$5.05,DBG00000030,
RCP00031,Cheese Grits,$2.15,DBG00000031,
RCP00032,Cheese Pizza,$3.00,DBG00000032,
RCP00033,Cheese Quesadillas,$4.00,DBG00000033,
RCP00034,Cheeseburgers,$4.75,DBG00000034,
RCP00035,Chicken and Rice Soup,$2.99,DBG00000035,
RCP00036,Chicken and Sausage Jambalaya,$5.05,DBG00000036,
RCP00037,Chicken and Waffle Sandwich with Sriracha Honey,$4.75,DBG00000037,
RCP00038,Chicken Bites,$4.75,DBG00000038,
RCP00039,Chicken Caesar Wrap,$3.25,DBG00000039,
RCP00040,Chicken Nuggets,$4.75,DBG00000040,
RCP00041,Chicken Parm,$5.05,DBG00000041,
RCP00042,Chicken Salad Bento Box,$5.75,DBG00000042,
RCP00043,Chicken Salad on Brioche,$4.50,DBG00000043,
RCP00044,Chicken Salad Sandwich,$4.50,DBG00000044,
RCP00045,Chicken Salad Wrap,$3.25,DBG00000045,
RCP00046,Chicken Tender and Ranch Wrap,$3.25,DBG00000046,
RCP00047,Chicken Tender Caesar Wrap,$3.25,DBG00000047,
RCP00048,Chicken Tenders,$4.75,DBG00000048,
RCP00049,"Chicken, Bacon, and Ranch Pizza",$4.75,DBG00000049,
RCP00050,Chipotle Barbecue Sauce,,DBG00000050,
RCP00051,Chocolate Chip Cookie Pudding Parfait,$3.75,DBG00000051,
RCP00052,Chocolate Chip Cookies,$2.10,DBG00000052,
RCP00053,Cinnamon Rolls,$2.75,DBG00000053,
RCP00054,Cornbread Croutons,,DBG00000054,
RCP00055,Cream of Tomato Soup,$2.99,DBG00000055,
RCP00056,Cuisine from Cuba,,DBG00000056,
RCP00057,Cuisine From the Middle East,,DBG00000056,
RCP00058,Curly Fries,$2.70,DBG00000057,
RCP00059,Dinner Rolls,$0.95,DBG00000058,
RCP00060,Double Chocolate Muffins,$3.00,DBG00000059,
RCP00061,Egg Drop Soup,$2.99,DBG00000060,
RCP00062,Eggplant Parmesan,$5.05,DBG00000061,
RCP00063,French Fries,$2.70,DBG00000062,
RCP00064,Fresh-Brewed Coffee,$1.50,DBG00000063,
RCP00065,Fried Chicken Sandwich,$4.75,DBG00000064,
RCP00066,Fried French Toast Sticks,$2.75,DBG00000065,
RCP00067,Fruit and Vanilla Yogurt Parfait,,DBG00000066,
RCP00068,Garden Salad,$4.75,DBG00000067,
RCP00069,Garlic Butter Breadsticks,$0.95,DBG00000068,
