RowId,Source,SourceKey,ItemName,Price,Barcode,OldCategory,Category,BaseProductPosName,Status,Edited,DeletedReason,MergeTargetRowId,MergeTransferredBarcodes,MergeTargetBarcodeBefore,MergeTargetBarcodeAfter,MergeActionTimestamp,ReviewReason
row-1,recipe+odin,debug-source-00001,Assorted Cold Cereals,1.75,DBG00000001,Breakfast,Breakfast,AsstColdCereals,pos_ready,false,,,,,,,
row-2,recipe,debug-source-00002,Assorted Drinks,,DBG00000002,,,,deleted,false,operator deleted,,,,,,missing category; missing or invalid price
row-3,recipe+odin,debug-source-00003,Assorted Fresh Whole Fruit,1.25,DBG00000003,Transit,Transit Non-Entree,AsstFrshWhlFrt,pos_ready,false,,,,,,,
row-4,recipe+odin,debug-source-00004,Assorted Fresh-Cut Fruit,2.75,DBG00000004,Transit,Transit Non-Entree,AsstFreshCutFrt,pos_ready,false,,,,,,,
row-5,recipe+odin,debug-source-00005,Assorted Powerade Zero™,3.00,DBG00000005,Beverages,,,deleted,false,operator deleted,,,,,,
row-6,recipe+odin,debug-source-00006,Assorted Powerade®,3.00,DBG00000006,Beverages,Vendor Beverages,Asst Powerade,pos_ready,false,,,,,,,
row-7,recipe,debug-source-00007,Assorted Yogurt,2.10,DBG00000007,,,,deleted,false,operator deleted,,,,,,
row-8,recipe+odin,debug-source-00008,Bacon,2.25,DBG00000008,Breakfast,Breakfast,Bcn,pos_ready,false,,,,,,,
row-9,recipe+odin,debug-source-00009,Bacon Cheeseburgers,4.75,"DBG00000009,DBG00000298",Entrees,Plated Entree,BcnChsbrg,pos_ready,true,,,,,,,
row-10,recipe+odin,debug-source-00010,Bacon Corn Chowder,2.99,DBG00000010,Soups and Ladles,Soups,BcnCornChowder,pos_ready,false,,,,,,,
row-11,recipe+odin,debug-source-00011,Bacon Turkey Ranch Wrap,3.25,DBG00000011,Sandwiches,Transit Entree,BcnTrkyRnchWrap,pos_ready,false,,,,,,,
row-12,recipe+odin,debug-source-00012,"Bacon, Egg, and Cheese Bagel",3.75,DBG00000012,Breakfast,Breakfast,Bcn EC Bagel,pos_ready,false,,,,,,,
row-13,recipe+odin,debug-source-00013,BBQ Chicken Tender and Cheddar Wrap,3.25,DBG00000013,Sandwiches,Transit Entree,BbqChkTndrChddr,pos_ready,false,,,,,,,
row-14,recipe+odin,debug-source-00014,Biscuits,1.50,DBG00000014,Breakfast,Breakfast,Biscuits,pos_ready,false,,,,,,,
row-15,recipe+odin,debug-source-00015,BLT Wrap,3.25,DBG00000015,Sandwiches,Transit Entree,Blt Wrap,pos_ready,false,,,,,,,
row-16,recipe+odin,debug-source-00016,Blueberry Muffins,3.00,DBG00000016,Breakfast,Breakfast,BlbrryMffns,pos_ready,false,,,,,,,
row-17,recipe,debug-source-00017,Blueberry Scones,2.50,DBG00000017,,Breakfast,BlueberryScones,pos_ready,false,,,,,,,
